case_id,part_id,part_type,line,activity,area,resource,timestamp,duration_minutes
WO-0216,PART-8054,Rotor,Line-C,Shipment,SHIP,Dock-01,2024-06-06 18:05:00,0
WO-0266,PART-9570,Manifold,Line-B,Shipment,SHIP,Dock-01,2024-06-06 18:28:00,0
WO-0272,PART-3174,Rotor,Line-B,Manual Repair,ASM,Cell-01,2024-06-06 18:39:00,111
WO-0043,PART-5901,Manifold,Line-C,Surface Prep,PREP,Prep-03,2024-06-06 18:44:00,26
WO-0083,PART-7229,Pump Housing,Line-C,Packaging,PKG,Pack-02,2024-06-06 18:45:00,16
WO-0185,PART-3641,Manifold,Line-A,Quality Check,QC,QA-02,2024-06-06 18:58:00,60
WO-0194,PART-5222,Bracket,Line-C,Surface Prep,PREP,Prep-01,2024-06-06 19:17:00,29
WO-0043,PART-5901,Manifold,Line-C,Assembly,ASM,Cell-01,2024-06-06 19:34:00,77
WO-0194,PART-5222,Bracket,Line-C,Assembly,ASM,Cell-02,2024-06-06 20:03:00,54
WO-0083,PART-7229,Pump Housing,Line-C,Shipment,SHIP,Dock-01,2024-06-06 20:22:00,0
WO-0185,PART-3641,Manifold,Line-A,Packaging,PKG,Pack-01,2024-06-06 20:23:00,19
WO-0272,PART-3174,Rotor,Line-B,Material Hold,HOLD,Planner,2024-06-06 20:52:00,473
WO-0194,PART-5222,Bracket,Line-C,Quality Check,QC,QA-02,2024-06-06 21:01:00,44
WO-0043,PART-5901,Manifold,Line-C,Quality Check,QC,QA-05,2024-06-06 21:14:00,45
WO-0185,PART-3641,Manifold,Line-A,Shipment,SHIP,Dock-01,2024-06-06 22:00:00,0
WO-0043,PART-5901,Manifold,Line-C,Packaging,PKG,Pack-01,2024-06-06 22:01:00,28
WO-0194,PART-5222,Bracket,Line-C,Packaging,PKG,Pack-02,2024-06-06 22:08:00,17
WO-0043,PART-5901,Manifold,Line-C,Shipment,SHIP,Dock-01,2024-06-06 23:36:00,0
WO-0128,PART-5456,Bracket,Line-A,Cutting,CUT,Laser-02,2024-06-06 23:36:00,24
WO-0145,PART-5313,Manifold,Line-B,Cutting,CUT,Laser-01,2024-06-06 23:51:00,23
WO-0194,PART-5222,Bracket,Line-C,Shipment,SHIP,Dock-01,2024-06-06 23:56:00,0
WO-0128,PART-5456,Bracket,Line-A,CNC Machining,CNC,CNC-15,2024-06-07 00:16:00,95
WO-0145,PART-5313,Manifold,Line-B,CNC Machining,CNC,CNC-12,2024-06-07 00:38:00,115
WO-0037,PART-8242,Valve Body,Line-A,Cutting,CUT,Laser-02,2024-06-07 01:50:00,48
WO-0128,PART-5456,Bracket,Line-A,Surface Prep,PREP,Prep-01,2024-06-07 01:54:00,30
WO-0145,PART-5313,Manifold,Line-B,Surface Prep,PREP,Prep-03,2024-06-07 02:37:00,36
WO-0128,PART-5456,Bracket,Line-A,Assembly,ASM,Cell-02,2024-06-07 02:37:00,60
WO-0037,PART-8242,Valve Body,Line-A,CNC Machining,CNC,CNC-19,2024-06-07 02:43:00,33
WO-0207,PART-4046,Valve Body,Line-B,Cutting,CUT,Laser-01,2024-06-07 03:00:00,20
WO-0207,PART-4046,Valve Body,Line-B,CNC Machining,CNC,CNC-12,2024-06-07 03:24:00,49
WO-0145,PART-5313,Manifold,Line-B,Assembly,ASM,Cell-04,2024-06-07 03:32:00,92
WO-0037,PART-8242,Valve Body,Line-A,Surface Prep,PREP,Prep-01,2024-06-07 03:37:00,40
WO-0128,PART-5456,Bracket,Line-A,Quality Check,QC,QA-02,2024-06-07 03:42:00,56
WO-0022,PART-2269,Rotor,Line-A,Cutting,CUT,Laser-01,2024-06-07 04:23:00,25
WO-0207,PART-4046,Valve Body,Line-B,Surface Prep,PREP,Prep-03,2024-06-07 04:30:00,21
WO-0037,PART-8242,Valve Body,Line-A,Assembly,ASM,Cell-02,2024-06-07 04:41:00,60
WO-0128,PART-5456,Bracket,Line-A,Packaging,PKG,Pack-01,2024-06-07 04:47:00,26
WO-0045,PART-6994,Bracket,Line-C,Cutting,CUT,Laser-02,2024-06-07 04:50:00,50
WO-0022,PART-2269,Rotor,Line-A,CNC Machining,CNC,CNC-15,2024-06-07 04:54:00,59
WO-0207,PART-4046,Valve Body,Line-B,Assembly,ASM,Cell-02,2024-06-07 05:06:00,79
WO-0145,PART-5313,Manifold,Line-B,Assembly Rework,ASM,Cell-01,2024-06-07 05:13:00,60
WO-0128,PART-5456,Bracket,Line-A,Shipment,SHIP,Dock-01,2024-06-07 05:27:00,0
WO-0272,PART-3174,Rotor,Line-B,Shipment,SHIP,Dock-01,2024-06-07 05:37:00,0
WO-0037,PART-8242,Valve Body,Line-A,Quality Check,QC,QA-05,2024-06-07 06:00:00,20
WO-0045,PART-6994,Bracket,Line-C,CNC Machining,CNC,CNC-12,2024-06-07 06:05:00,73
WO-0001,PART-2824,Valve Body,Line-C,Cutting,CUT,Laser-01,2024-06-07 06:12:00,26
WO-0022,PART-2269,Rotor,Line-A,Surface Prep,PREP,Prep-01,2024-06-07 06:17:00,19
WO-0037,PART-8242,Valve Body,Line-A,Packaging,PKG,Pack-01,2024-06-07 06:24:00,17
WO-0145,PART-5313,Manifold,Line-B,Quality Check,QC,QA-05,2024-06-07 06:27:00,53
WO-0207,PART-4046,Valve Body,Line-B,Assembly Rework,ASM,Cell-04,2024-06-07 06:38:00,54
WO-0225,PART-5953,Pump Housing,Line-C,Cutting,CUT,Laser-01,2024-06-07 06:39:00,44
WO-0022,PART-2269,Rotor,Line-A,Assembly,ASM,Cell-02,2024-06-07 06:40:00,93
WO-0001,PART-2824,Valve Body,Line-C,CNC Machining,CNC,CNC-12,2024-06-07 06:58:00,84
WO-0124,PART-6152,Pump Housing,Line-A,Cutting,CUT,Laser-02,2024-06-07 07:15:00,58
WO-0037,PART-8242,Valve Body,Line-A,Shipment,SHIP,Dock-01,2024-06-07 07:26:00,0
WO-0045,PART-6994,Bracket,Line-C,Surface Prep,PREP,Prep-01,2024-06-07 07:34:00,45
WO-0207,PART-4046,Valve Body,Line-B,Quality Check,QC,QA-02,2024-06-07 07:35:00,41
WO-0145,PART-5313,Manifold,Line-B,Packaging,PKG,Pack-01,2024-06-07 07:39:00,25
WO-0225,PART-5953,Pump Housing,Line-C,CNC Machining,CNC,CNC-12,2024-06-07 07:42:00,65
WO-0207,PART-4046,Valve Body,Line-B,Packaging,PKG,Pack-02,2024-06-07 08:22:00,11
WO-0001,PART-2824,Valve Body,Line-C,Surface Prep,PREP,Prep-01,2024-06-07 08:24:00,17
WO-0045,PART-6994,Bracket,Line-C,Assembly,ASM,Cell-01,2024-06-07 08:25:00,136
WO-0022,PART-2269,Rotor,Line-A,Assembly Rework,ASM,Cell-02,2024-06-07 08:25:00,59
WO-0124,PART-6152,Pump Housing,Line-A,CNC Machining,CNC,CNC-19,2024-06-07 08:37:00,33
WO-0207,PART-4046,Valve Body,Line-B,Material Hold,HOLD,Planner,2024-06-07 08:47:00,360
WO-0001,PART-2824,Valve Body,Line-C,Assembly,ASM,Cell-04,2024-06-07 08:50:00,104
WO-0225,PART-5953,Pump Housing,Line-C,Surface Prep,PREP,Prep-03,2024-06-07 08:53:00,25
WO-0124,PART-6152,Pump Housing,Line-A,Surface Prep,PREP,Prep-01,2024-06-07 09:21:00,21
WO-0145,PART-5313,Manifold,Line-B,Shipment,SHIP,Dock-01,2024-06-07 09:21:00,0
WO-0022,PART-2269,Rotor,Line-A,Quality Check,QC,QA-02,2024-06-07 09:39:00,23
WO-0225,PART-5953,Pump Housing,Line-C,Assembly,ASM,Cell-01,2024-06-07 09:41:00,57
WO-0124,PART-6152,Pump Housing,Line-A,Assembly,ASM,Cell-02,2024-06-07 10:07:00,90
WO-0022,PART-2269,Rotor,Line-A,Packaging,PKG,Pack-01,2024-06-07 10:17:00,22
WO-0001,PART-2824,Valve Body,Line-C,Assembly Rework,ASM,Cell-01,2024-06-07 10:36:00,60
WO-0257,PART-6759,Pump Housing,Line-C,Cutting,CUT,Laser-01,2024-06-07 10:43:00,59
WO-0225,PART-5953,Pump Housing,Line-C,Quality Check,QC,QA-02,2024-06-07 11:03:00,44
WO-0045,PART-6994,Bracket,Line-C,Quality Check,QC,QA-05,2024-06-07 11:04:00,45
WO-0022,PART-2269,Rotor,Line-A,Shipment,SHIP,Dock-01,2024-06-07 11:09:00,0
WO-0031,PART-2680,Valve Body,Line-C,Cutting,CUT,Laser-01,2024-06-07 11:17:00,31
WO-0065,PART-2680,Bracket,Line-A,Cutting,CUT,Laser-01,2024-06-07 11:40:00,48
WO-0257,PART-6759,Pump Housing,Line-C,CNC Machining,CNC,CNC-19,2024-06-07 11:45:00,106
WO-0045,PART-6994,Bracket,Line-C,Packaging,PKG,Pack-01,2024-06-07 11:53:00,22
WO-0031,PART-2680,Valve Body,Line-C,CNC Machining,CNC,CNC-12,2024-06-07 11:58:00,91
WO-0124,PART-6152,Pump Housing,Line-A,Quality Check,QC,QA-02,2024-06-07 11:59:00,23
WO-0001,PART-2824,Valve Body,Line-C,Quality Check,QC,QA-05,2024-06-07 12:00:00,54
WO-0225,PART-5953,Pump Housing,Line-C,Packaging,PKG,Pack-01,2024-06-07 12:02:00,17
WO-0124,PART-6152,Pump Housing,Line-A,Packaging,PKG,Pack-01,2024-06-07 12:39:00,22
WO-0066,PART-3392,Pump Housing,Line-A,Cutting,CUT,Laser-02,2024-06-07 12:40:00,28
WO-0065,PART-2680,Bracket,Line-A,CNC Machining,CNC,CNC-12,2024-06-07 12:43:00,41
WO-0001,PART-2824,Valve Body,Line-C,Packaging,PKG,Pack-02,2024-06-07 13:03:00,24
WO-0066,PART-3392,Pump Housing,Line-A,CNC Machining,CNC,CNC-12,2024-06-07 13:24:00,108
WO-0001,PART-2824,Valve Body,Line-C,Manual Repair,ASM,Cell-04,2024-06-07 13:29:00,50
WO-0031,PART-2680,Valve Body,Line-C,Surface Prep,PREP,Prep-03,2024-06-07 13:33:00,27
WO-0045,PART-6994,Bracket,Line-C,Shipment,SHIP,Dock-01,2024-06-07 13:33:00,0
WO-0257,PART-6759,Pump Housing,Line-C,Surface Prep,PREP,Prep-01,2024-06-07 13:39:00,45
WO-0065,PART-2680,Bracket,Line-A,Surface Prep,PREP,Prep-03,2024-06-07 13:40:00,43
WO-0225,PART-5953,Pump Housing,Line-C,Shipment,SHIP,Dock-01,2024-06-07 14:01:00,0
WO-0031,PART-2680,Valve Body,Line-C,Assembly,ASM,Cell-04,2024-06-07 14:04:00,113
WO-0065,PART-2680,Bracket,Line-A,Assembly,ASM,Cell-01,2024-06-07 14:25:00,93
WO-0124,PART-6152,Pump Housing,Line-A,Shipment,SHIP,Dock-01,2024-06-07 14:36:00,0
WO-0257,PART-6759,Pump Housing,Line-C,Assembly,ASM,Cell-01,2024-06-07 14:48:00,55
WO-0001,PART-2824,Valve Body,Line-C,Shipment,SHIP,Dock-01,2024-06-07 15:03:00,0
WO-0066,PART-3392,Pump Housing,Line-A,Surface Prep,PREP,Prep-03,2024-06-07 15:16:00,15
WO-0207,PART-4046,Valve Body,Line-B,Shipment,SHIP,Dock-01,2024-06-07 15:20:00,0
WO-0066,PART-3392,Pump Housing,Line-A,Assembly,ASM,Cell-01,2024-06-07 15:39:00,146
WO-0257,PART-6759,Pump Housing,Line-C,Assembly Rework,ASM,Cell-02,2024-06-07 16:04:00,33
WO-0065,PART-2680,Bracket,Line-A,Assembly Rework,ASM,Cell-02,2024-06-07 16:12:00,57
WO-0031,PART-2680,Valve Body,Line-C,Quality Check,QC,QA-02,2024-06-07 16:20:00,23
WO-0230,PART-8558,Pump Housing,Line-B,Cutting,CUT,Laser-01,2024-06-07 16:47:00,53
WO-0031,PART-2680,Valve Body,Line-C,Packaging,PKG,Pack-02,2024-06-07 16:49:00,28
WO-0257,PART-6759,Pump Housing,Line-C,Quality Check,QC,QA-02,2024-06-07 17:00:00,56
WO-0065,PART-2680,Bracket,Line-A,Quality Check,QC,QA-02,2024-06-07 17:18:00,44
WO-0071,PART-2311,Rotor,Line-C,Cutting,CUT,Laser-01,2024-06-07 17:27:00,47
WO-0031,PART-2680,Valve Body,Line-C,Shipment,SHIP,Dock-01,2024-06-07 17:46:00,0
WO-0230,PART-8558,Pump Housing,Line-B,CNC Machining,CNC,CNC-15,2024-06-07 17:56:00,112
WO-0257,PART-6759,Pump Housing,Line-C,Packaging,PKG,Pack-02,2024-06-07 18:01:00,15
WO-0065,PART-2680,Bracket,Line-A,Packaging,PKG,Pack-01,2024-06-07 18:15:00,17
WO-0066,PART-3392,Pump Housing,Line-A,Quality Check,QC,QA-05,2024-06-07 18:24:00,58
WO-0257,PART-6759,Pump Housing,Line-C,Manual Repair,ASM,Cell-04,2024-06-07 18:27:00,89
WO-0071,PART-2311,Rotor,Line-C,CNC Machining,CNC,CNC-15,2024-06-07 18:38:00,86
WO-0066,PART-3392,Pump Housing,Line-A,Packaging,PKG,Pack-01,2024-06-07 19:27:00,19
WO-0065,PART-2680,Bracket,Line-A,Shipment,SHIP,Dock-01,2024-06-07 19:36:00,0
WO-0230,PART-8558,Pump Housing,Line-B,Surface Prep,PREP,Prep-01,2024-06-07 19:52:00,38
WO-0237,PART-5168,Valve Body,Line-B,Cutting,CUT,Laser-01,2024-06-07 19:59:00,20
WO-0095,PART-9540,Pump Housing,Line-B,Cutting,CUT,Laser-01,2024-06-07 20:06:00,57
WO-0071,PART-2311,Rotor,Line-C,Surface Prep,PREP,Prep-03,2024-06-07 20:20:00,16
WO-0230,PART-8558,Pump Housing,Line-B,Assembly,ASM,Cell-04,2024-06-07 20:37:00,139
WO-0066,PART-3392,Pump Housing,Line-A,Shipment,SHIP,Dock-01,2024-06-07 20:37:00,0
WO-0237,PART-5168,Valve Body,Line-B,CNC Machining,CNC,CNC-15,2024-06-07 20:42:00,72
WO-0257,PART-6759,Pump Housing,Line-C,Shipment,SHIP,Dock-01,2024-06-07 20:45:00,0
WO-0071,PART-2311,Rotor,Line-C,Assembly,ASM,Cell-02,2024-06-07 20:57:00,95
WO-0095,PART-9540,Pump Housing,Line-B,CNC Machining,CNC,CNC-15,2024-06-07 21:25:00,116
WO-0277,PART-9986,Manifold,Line-B,Cutting,CUT,Laser-01,2024-06-07 22:04:00,39
WO-0237,PART-5168,Valve Body,Line-B,Surface Prep,PREP,Prep-01,2024-06-07 22:08:00,38
WO-0277,PART-9986,Manifold,Line-B,CNC Machining,CNC,CNC-15,2024-06-07 22:53:00,59
WO-0237,PART-5168,Valve Body,Line-B,Assembly,ASM,Cell-02,2024-06-07 22:53:00,64
WO-0071,PART-2311,Rotor,Line-C,Assembly Rework,ASM,Cell-01,2024-06-07 22:54:00,75
WO-0230,PART-8558,Pump Housing,Line-B,Quality Check,QC,QA-02,2024-06-07 23:20:00,54
WO-0095,PART-9540,Pump Housing,Line-B,Surface Prep,PREP,Prep-01,2024-06-07 23:40:00,30
WO-0277,PART-9986,Manifold,Line-B,Surface Prep,PREP,Prep-01,2024-06-08 00:05:00,24
WO-0237,PART-5168,Valve Body,Line-B,Quality Check,QC,QA-05,2024-06-08 00:09:00,50
WO-0071,PART-2311,Rotor,Line-C,Quality Check,QC,QA-05,2024-06-08 00:13:00,60
WO-0015,PART-8041,Pump Housing,Line-A,Cutting,CUT,Laser-02,2024-06-08 00:21:00,22
WO-0095,PART-9540,Pump Housing,Line-B,Assembly,ASM,Cell-04,2024-06-08 00:23:00,122
WO-0230,PART-8558,Pump Housing,Line-B,Packaging,PKG,Pack-02,2024-06-08 00:28:00,23
WO-0277,PART-9986,Manifold,Line-B,Assembly,ASM,Cell-02,2024-06-08 00:35:00,85
WO-0015,PART-8041,Pump Housing,Line-A,CNC Machining,CNC,CNC-12,2024-06-08 00:51:00,117
WO-0237,PART-5168,Valve Body,Line-B,Packaging,PKG,Pack-01,2024-06-08 01:02:00,30
WO-0230,PART-8558,Pump Housing,Line-B,Manual Repair,ASM,Cell-01,2024-06-08 01:07:00,33
WO-0071,PART-2311,Rotor,Line-C,Packaging,PKG,Pack-01,2024-06-08 01:26:00,26
WO-0277,PART-9986,Manifold,Line-B,Quality Check,QC,QA-02,2024-06-08 02:16:00,30
WO-0230,PART-8558,Pump Housing,Line-B,Shipment,SHIP,Dock-01,2024-06-08 02:31:00,0
WO-0095,PART-9540,Pump Housing,Line-B,Assembly Rework,ASM,Cell-04,2024-06-08 02:39:00,75
WO-0237,PART-5168,Valve Body,Line-B,Shipment,SHIP,Dock-01,2024-06-08 02:57:00,0
WO-0180,PART-8017,Pump Housing,Line-A,Cutting,CUT,Laser-02,2024-06-08 03:03:00,47
WO-0277,PART-9986,Manifold,Line-B,Packaging,PKG,Pack-02,2024-06-08 03:10:00,27
WO-0015,PART-8041,Pump Housing,Line-A,Surface Prep,PREP,Prep-03,2024-06-08 03:11:00,18
WO-0011,PART-9883,Valve Body,Line-C,Cutting,CUT,Laser-01,2024-06-08 03:16:00,52
WO-0071,PART-2311,Rotor,Line-C,Shipment,SHIP,Dock-01,2024-06-08 03:21:00,0
WO-0133,PART-3693,Manifold,Line-B,Cutting,CUT,Laser-02,2024-06-08 03:30:00,33
WO-0015,PART-8041,Pump Housing,Line-A,Assembly,ASM,Cell-04,2024-06-08 03:48:00,92
WO-0180,PART-8017,Pump Housing,Line-A,CNC Machining,CNC,CNC-19,2024-06-08 04:03:00,47
WO-0095,PART-9540,Pump Housing,Line-B,Quality Check,QC,QA-05,2024-06-08 04:06:00,46
WO-0011,PART-9883,Valve Body,Line-C,CNC Machining,CNC,CNC-12,2024-06-08 04:11:00,95
WO-0277,PART-9986,Manifold,Line-B,Shipment,SHIP,Dock-01,2024-06-08 04:13:00,0
WO-0133,PART-3693,Manifold,Line-B,CNC Machining,CNC,CNC-15,2024-06-08 04:14:00,89
WO-0095,PART-9540,Pump Housing,Line-B,Packaging,PKG,Pack-02,2024-06-08 04:58:00,19
WO-0180,PART-8017,Pump Housing,Line-A,Surface Prep,PREP,Prep-03,2024-06-08 05:15:00,25
WO-0015,PART-8041,Pump Housing,Line-A,Quality Check,QC,QA-02,2024-06-08 05:45:00,29
WO-0133,PART-3693,Manifold,Line-B,Surface Prep,PREP,Prep-01,2024-06-08 05:48:00,17
WO-0011,PART-9883,Valve Body,Line-C,Surface Prep,PREP,Prep-01,2024-06-08 05:53:00,17
WO-0180,PART-8017,Pump Housing,Line-A,Assembly,ASM,Cell-02,2024-06-08 05:56:00,97
WO-0015,PART-8041,Pump Housing,Line-A,Packaging,PKG,Pack-02,2024-06-08 06:21:00,15
WO-0133,PART-3693,Manifold,Line-B,Assembly,ASM,Cell-04,2024-06-08 06:28:00,78
WO-0011,PART-9883,Valve Body,Line-C,Assembly,ASM,Cell-01,2024-06-08 06:33:00,150
WO-0095,PART-9540,Pump Housing,Line-B,Shipment,SHIP,Dock-01,2024-06-08 06:34:00,0
WO-0279,PART-9182,Pump Housing,Line-B,Cutting,CUT,Laser-02,2024-06-08 06:52:00,54
WO-0015,PART-8041,Pump Housing,Line-A,Shipment,SHIP,Dock-01,2024-06-08 07:30:00,0
WO-0180,PART-8017,Pump Housing,Line-A,Assembly Rework,ASM,Cell-04,2024-06-08 07:44:00,56
WO-0279,PART-9182,Pump Housing,Line-B,CNC Machining,CNC,CNC-15,2024-06-08 08:08:00,120
WO-0133,PART-3693,Manifold,Line-B,Quality Check,QC,QA-02,2024-06-08 08:10:00,58
WO-0180,PART-8017,Pump Housing,Line-A,Quality Check,QC,QA-02,2024-06-08 08:45:00,31
WO-0231,PART-8449,Valve Body,Line-B,Cutting,CUT,Laser-01,2024-06-08 08:59:00,30
WO-0133,PART-3693,Manifold,Line-B,Packaging,PKG,Pack-01,2024-06-08 09:16:00,20
WO-0011,PART-9883,Valve Body,Line-C,Assembly Rework,ASM,Cell-04,2024-06-08 09:17:00,32
WO-0180,PART-8017,Pump Housing,Line-A,Packaging,PKG,Pack-01,2024-06-08 09:26:00,14
WO-0231,PART-8449,Valve Body,Line-B,CNC Machining,CNC,CNC-19,2024-06-08 09:33:00,44
WO-0011,PART-9883,Valve Body,Line-C,Quality Check,QC,QA-02,2024-06-08 09:58:00,57
WO-0280,PART-8306,Rotor,Line-A,Cutting,CUT,Laser-01,2024-06-08 10:14:00,57
WO-0279,PART-9182,Pump Housing,Line-B,Surface Prep,PREP,Prep-03,2024-06-08 10:25:00,43
WO-0231,PART-8449,Valve Body,Line-B,Surface Prep,PREP,Prep-03,2024-06-08 10:33:00,35
WO-0133,PART-3693,Manifold,Line-B,Shipment,SHIP,Dock-01,2024-06-08 10:35:00,0
WO-0231,PART-8449,Valve Body,Line-B,Assembly,ASM,Cell-04,2024-06-08 11:12:00,107
WO-0011,PART-9883,Valve Body,Line-C,Packaging,PKG,Pack-02,2024-06-08 11:16:00,12
WO-0180,PART-8017,Pump Housing,Line-A,Shipment,SHIP,Dock-01,2024-06-08 11:20:00,0
WO-0280,PART-8306,Rotor,Line-A,CNC Machining,CNC,CNC-12,2024-06-08 11:21:00,55
WO-0279,PART-9182,Pump Housing,Line-B,Assembly,ASM,Cell-01,2024-06-08 11:28:00,125
WO-0280,PART-8306,Rotor,Line-A,Surface Prep,PREP,Prep-03,2024-06-08 12:20:00,32
WO-0165,PART-9055,Rotor,Line-A,Cutting,CUT,Laser-02,2024-06-08 12:42:00,34
WO-0011,PART-9883,Valve Body,Line-C,Shipment,SHIP,Dock-01,2024-06-08 13:07:00,0
WO-0231,PART-8449,Valve Body,Line-B,Quality Check,QC,QA-02,2024-06-08 13:13:00,52
WO-0280,PART-8306,Rotor,Line-A,Assembly,ASM,Cell-01,2024-06-08 13:15:00,125
WO-0165,PART-9055,Rotor,Line-A,CNC Machining,CNC,CNC-12,2024-06-08 13:30:00,60
WO-0279,PART-9182,Pump Housing,Line-B,Assembly Rework,ASM,Cell-02,2024-06-08 13:53:00,71
WO-0231,PART-8449,Valve Body,Line-B,Packaging,PKG,Pack-02,2024-06-08 14:19:00,27
WO-0165,PART-9055,Rotor,Line-A,Surface Prep,PREP,Prep-03,2024-06-08 14:46:00,29
WO-0279,PART-9182,Pump Housing,Line-B,Quality Check,QC,QA-05,2024-06-08 15:16:00,27
WO-0165,PART-9055,Rotor,Line-A,Assembly,ASM,Cell-02,2024-06-08 15:19:00,149
WO-0280,PART-8306,Rotor,Line-A,Assembly Rework,ASM,Cell-01,2024-06-08 15:38:00,50
WO-0231,PART-8449,Valve Body,Line-B,Shipment,SHIP,Dock-01,2024-06-08 15:41:00,0
WO-0279,PART-9182,Pump Housing,Line-B,Packaging,PKG,Pack-01,2024-06-08 15:46:00,14
WO-0279,PART-9182,Pump Housing,Line-B,Material Hold,HOLD,Planner,2024-06-08 16:11:00,436
WO-0264,PART-2033,Pump Housing,Line-B,Cutting,CUT,Laser-02,2024-06-08 16:14:00,45
WO-0280,PART-8306,Rotor,Line-A,Quality Check,QC,QA-02,2024-06-08 16:45:00,40
WO-0264,PART-2033,Pump Housing,Line-B,CNC Machining,CNC,CNC-19,2024-06-08 17:04:00,117
WO-0280,PART-8306,Rotor,Line-A,Packaging,PKG,Pack-02,2024-06-08 17:48:00,21
WO-0165,PART-9055,Rotor,Line-A,Quality Check,QC,QA-02,2024-06-08 18:04:00,40
WO-0165,PART-9055,Rotor,Line-A,Packaging,PKG,Pack-01,2024-06-08 19:01:00,30
WO-0280,PART-8306,Rotor,Line-A,Shipment,SHIP,Dock-01,2024-06-08 19:19:00,0
WO-0264,PART-2033,Pump Housing,Line-B,Surface Prep,PREP,Prep-03,2024-06-08 19:20:00,19
WO-0165,PART-9055,Rotor,Line-A,Manual Repair,ASM,Cell-02,2024-06-08 19:36:00,81
WO-0264,PART-2033,Pump Housing,Line-B,Assembly,ASM,Cell-01,2024-06-08 19:47:00,137
WO-0165,PART-9055,Rotor,Line-A,Shipment,SHIP,Dock-01,2024-06-08 21:10:00,0
WO-0299,PART-8786,Manifold,Line-A,Cutting,CUT,Laser-02,2024-06-08 21:40:00,39
WO-0264,PART-2033,Pump Housing,Line-B,Quality Check,QC,QA-05,2024-06-08 22:24:00,31
WO-0299,PART-8786,Manifold,Line-A,CNC Machining,CNC,CNC-19,2024-06-08 22:34:00,114
WO-0264,PART-2033,Pump Housing,Line-B,Packaging,PKG,Pack-02,2024-06-08 22:59:00,13
WO-0264,PART-2033,Pump Housing,Line-B,Shipment,SHIP,Dock-01,2024-06-08 23:49:00,0
WO-0279,PART-9182,Pump Housing,Line-B,Shipment,SHIP,Dock-01,2024-06-09 00:05:00,0
WO-0299,PART-8786,Manifold,Line-A,Surface Prep,PREP,Prep-03,2024-06-09 00:40:00,21
WO-0299,PART-8786,Manifold,Line-A,Assembly,ASM,Cell-04,2024-06-09 01:15:00,72
WO-0299,PART-8786,Manifold,Line-A,Quality Check,QC,QA-02,2024-06-09 02:45:00,49
WO-0299,PART-8786,Manifold,Line-A,Packaging,PKG,Pack-01,2024-06-09 03:36:00,30
WO-0171,PART-4342,Bracket,Line-A,Cutting,CUT,Laser-01,2024-06-09 03:53:00,55
WO-0144,PART-9043,Pump Housing,Line-A,Cutting,CUT,Laser-02,2024-06-09 05:03:00,60
WO-0125,PART-2163,Bracket,Line-A,Cutting,CUT,Laser-02,2024-06-09 05:12:00,56
WO-0171,PART-4342,Bracket,Line-A,CNC Machining,CNC,CNC-19,2024-06-09 05:13:00,112
WO-0299,PART-8786,Manifold,Line-A,Shipment,SHIP,Dock-01,2024-06-09 05:35:00,0
WO-0144,PART-9043,Pump Housing,Line-A,CNC Machining,CNC,CNC-12,2024-06-09 06:11:00,42
WO-0125,PART-2163,Bracket,Line-A,CNC Machining,CNC,CNC-19,2024-06-09 06:21:00,99
WO-0298,PART-3730,Bracket,Line-B,Cutting,CUT,Laser-01,2024-06-09 06:25:00,60
WO-0244,PART-3354,Bracket,Line-B,Cutting,CUT,Laser-02,2024-06-09 06:29:00,41
WO-0129,PART-5006,Valve Body,Line-B,Cutting,CUT,Laser-02,2024-06-09 06:46:00,22
WO-0144,PART-9043,Pump Housing,Line-A,Surface Prep,PREP,Prep-03,2024-06-09 07:01:00,20
WO-0129,PART-5006,Valve Body,Line-B,CNC Machining,CNC,CNC-12,2024-06-09 07:17:00,71
WO-0171,PART-4342,Bracket,Line-A,Surface Prep,PREP,Prep-03,2024-06-09 07:19:00,22
WO-0144,PART-9043,Pump Housing,Line-A,Assembly,ASM,Cell-01,2024-06-09 07:25:00,100
WO-0244,PART-3354,Bracket,Line-B,CNC Machining,CNC,CNC-12,2024-06-09 07:26:00,92
WO-0298,PART-3730,Bracket,Line-B,CNC Machining,CNC,CNC-15,2024-06-09 07:44:00,57
WO-0171,PART-4342,Bracket,Line-A,Assembly,ASM,Cell-01,2024-06-09 08:05:00,125
WO-0125,PART-2163,Bracket,Line-A,Surface Prep,PREP,Prep-03,2024-06-09 08:07:00,39
WO-0129,PART-5006,Valve Body,Line-B,Surface Prep,PREP,Prep-03,2024-06-09 08:43:00,44
WO-0125,PART-2163,Bracket,Line-A,Assembly,ASM,Cell-04,2024-06-09 08:50:00,42
WO-0298,PART-3730,Bracket,Line-B,Surface Prep,PREP,Prep-03,2024-06-09 08:51:00,16
WO-0244,PART-3354,Bracket,Line-B,Surface Prep,PREP,Prep-01,2024-06-09 09:02:00,30
WO-0144,PART-9043,Pump Housing,Line-A,Assembly Rework,ASM,Cell-02,2024-06-09 09:16:00,75
WO-0298,PART-3730,Bracket,Line-B,Assembly,ASM,Cell-01,2024-06-09 09:27:00,91
WO-0125,PART-2163,Bracket,Line-A,Quality Check,QC,QA-05,2024-06-09 09:36:00,20
WO-0129,PART-5006,Valve Body,Line-B,Assembly,ASM,Cell-01,2024-06-09 09:37:00,145
WO-0244,PART-3354,Bracket,Line-B,Assembly,ASM,Cell-02,2024-06-09 09:45:00,101
